mode,question_id,question,question_type,rank_of_correct_url,generated_answer,latency_sec,entity_coverage,hallucinated,confidence,correct,error_type,judge_accuracy,judge_completeness,judge_relevance,judge_coherence,judge_explanation
dense,0,"Based on the article 'Laboratory', what is the primary definition or role described?",factual,1,"facility that provides controlled conditions in which scientific or technological research, experiments, and measurement may be performed.",34.233,1.0,0,1.0,1,generation_failure,1.770044052863436,2.0,2.0,2.0,1 to 5
dense,1,"Based on the article 'Philosophy', what is the primary definition or role described?",factual,2,The goal is to give an unbiased description of the appearance of things. Methodological naturalism places great emphasis on,23.603,1.0,0,0.5,1,generation_failure,1.617391304347826,2.0,2.0,2.0,1 to 5
dense,2,"Based on the article 'Urban evolution', what is the primary definition or role described?",factual,1,heritable genetic changes of populations in response to urban development and anthropogenic activities in urban areas.,20.693,1.0,0,1.0,1,generation_failure,1.8491017964071854,2.0,2.0,2.0,1 to 5
dense,3,"Based on the article 'Hydrocarbon', what is the primary definition or role described?",factual,1,"I cannot answer this from the provided context. The vast majority of hydrocarbons found on Earth occur in crude oil, petroleum, coal",28.137,1.0,0,1.0,1,generation_failure,1.622972972972973,2.0,2.0,2.0,1 to 5
dense,4,"Based on the article 'Kitchenette', what is the primary definition or role described?",factual,1,"I cannot answer this from the provided context. A small cooking area, which usually has a refrigerator and microwave oven",24.219,1.0,0,1.0,1,success,2.303225806451613,2.0,2.0,2.0,1 to 5
dense,5,"Based on the article 'Imagine (Gal Gadot video)', what is the primary definition or role described?",factual,1,I cannot answer this from the provided context. A work of visual art that simulates experiences and otherwise communicates,24.779,0.0,1,1.0,1,generation_failure,1.7633540372670806,2.0,2.0,2.0,1 to 5
dense,6,"Based on the article 'Facebook F8', what is the primary definition or role described?",factual,1,I cannot answer this from the provided context. Facebook F8 was a mostly-annual conference held by,23.232,1.0,0,1.0,1,generation_failure,1.6465753424657534,2.0,2.0,2.0,1 to 5
dense,7,"Based on the article 'Indoor practice facility', what is the primary definition or role described?",factual,1,I cannot answer this from the provided context. An indoor practice facility is a specialized structure designed to provide athletes with,25.711,1.0,0,1.0,1,success,2.301023890784983,2.0,2.0,2.0,1 to 5
dense,8,"Based on the article 'Labyrinth', what is the primary definition or role described?",factual,2,Prehistoric labyrinths may have served as traps for malevolent spirits or as paths,26.794,0.0,1,0.5,1,generation_failure,1.6785714285714284,2.0,2.0,2.0,1 to 5
dense,9,"Based on the article 'NAKO Health Study', what is the primary definition or role described?",factual,1,"I cannot answer this from the provided context. Its purpose is to investigate the development, distribution, and risk factors",24.351,0.0,1,1.0,1,generation_failure,2.544976076555024,3.0,3.0,3.0,Single-score output from LLM
dense,10,"Based on the article 'Radio', what is the primary definition or role described?",factual,1,the technology of communicating using radio waves. Radio waves are electromagnetic waves of frequency between 3 hertz (Hz) and 300 gigahertz,28.121,1.0,0,1.0,1,generation_failure,1.7016759776536312,2.0,2.0,2.0,1 to 5
dense,11,"Based on the article 'Chemistry', what is the primary definition or role described?",factual,1,"I cannot answer this from the provided context. The 1730 definition of the word ""chemistry"", as used by Georg Ernst Stahl",28.778,1.0,0,1.0,1,generation_failure,1.4687022900763358,2.0,2.0,2.0,1 to 5
dense,12,"Based on the article 'Interval arithmetic', what is the primary definition or role described?",factual,1,"I cannot answer this from the provided context. Interval multiplication often only requires two multipositions. If x1, y1 are nonnegative",32.233,0.0,1,1.0,1,generation_failure,1.5987951807228915,2.0,2.0,2.0,1 to 5
dense,13,"Based on the article 'Drone-Enhanced Emergency Medical Services', what is the primary definition or role described?",factual,1,the use of highly autonomous Beyond Visual Line of Sight (BVLOS)drones to deliver critical medical supplies,29.843,0.25,1,1.0,1,generation_failure,2.4456026058631917,2.0,2.0,2.0,1 to 5
dense,14,"Based on the article 'Joule heating', what is the primary definition or role described?",factual,1,I cannot answer this from the provided context. The passage of an electric current through a conductor produces heat.,26.037,0.0,1,1.0,1,generation_failure,2.1949526813880125,2.0,2.0,2.0,1 to 5
dense,15,"Based on the article 'Lace', what is the primary definition or role described?",factual,1,"I cannot answer this from the provided context. The late 16th century marked the rapid development of lace, both needle lash and",27.753,1.0,0,1.0,1,generation_failure,1.68021978021978,2.0,2.0,2.0,1 to 5> ---
dense,16,"Based on the article 'Lowest bridging point', what is the primary definition or role described?",factual,1,The lowest bridging point (or lowest crossing point) is the location on a river which is crossed by,25.039,1.0,0,1.0,1,success,2.6375,2.0,2.0,2.0,1 to 5
dense,17,"Based on the article 'City centre', what is the primary definition or role described?",factual,1,"the commercial, cultural and often the historical, political, and geographic heart of a city. The concept of the ""CBD""",27.706,0.0,1,1.0,1,generation_failure,1.7457627118644066,2.0,2.0,2.0,1 to 5
dense,18,"Based on the article 'Maibaron', what is the primary definition or role described?",factual,1,"the art and science of therapeutic practice. It includes a variety of healing methods such as spiritual rituals, herbal medicine,",25.14,1.0,0,1.0,1,generation_failure,1.9538461538461538,2.0,2.0,2.0,1 to 5
dense,19,"Based on the article 'Fan-gating', what is the primary definition or role described?",factual,1,"I cannot answer this from the provided context. This content typically exclusive features, promotional offers, games or other material",22.65,1.0,0,1.0,1,success,2.4772455089820355,3.0,3.0,3.0,Single-score output from LLM
dense,20,"Based on the article 'Bullet journal', what is the primary definition or role described?",factual,1,"A paper-based method of personal organization developed by digital product designer Ryder Carroll. The bullet journal system organizes journaling, time management",25.479,0.5,0,1.0,1,success,,,,,
dense,21,"Based on the article 'Kabbalah', what is the primary definition or role described?",factual,1,"an esoteric method, discipline, and school of thought in Jewish mysticism. It forms the foundation",30.044,1.0,0,1.0,1,success,,,,,
dense,22,"Based on the article 'Geomorphology', what is the primary definition or role described?",factual,1,I cannot answer this from the provided context. Geomorphology is the scientific study of the origin and evolution of topographic and bathymetric features generated,28.091,1.0,0,1.0,1,success,,,,,
dense,23,"Based on the article 'Winter City', what is the primary definition or role described?",factual,1,I cannot answer this from the provided context. Winter City or Winter Cities is a concept for communities in northern latitudes that encourage,25.289,0.0,1,1.0,1,generation_failure,,,,,
dense,24,"Based on the article 'Immunopathology', what is the primary definition or role described?",factual,2,"I cannot answer this from the provided context. Immunology charts, measures, and contextualizes the physiological functioning of the immune system in states",27.705,1.0,0,0.5,1,success,,,,,
dense,25,"Based on the article 'Facebook', what is the primary definition or role described?",factual,1,Facebook is an American made social networking service owned by the American technology conglomerate Meta. Created in 2004,23.84,1.0,0,1.0,1,success,,,,,
dense,26,"Based on the article 'Dentistry', what is the primary definition or role described?",factual,1,"the study, diagnosis, prevention, management, and treatment of diseases, disorders and conditions of the mouth.",21.772,1.0,0,1.0,1,success,,,,,
dense,27,"Based on the article 'Electronics', what is the primary definition or role described?",factual,1,"I cannot answer this from the provided context. Electronics is a scientific and engineering discipline that studies and applies the principles of physics to design,",27.725,1.0,0,1.0,1,success,,,,,
dense,28,"Based on the article 'Kaddish', what is the primary definition or role described?",factual,1,"the magnification and sanctification of God's name. In the liturgy, different versions",26.136,0.0,1,1.0,1,generation_failure,,,,,
dense,29,"Based on the article 'List of national legal systems', what is the primary definition or role described?",factual,1,I cannot answer this from the provided context. It has been variously described as a science and as the art of justice,24.003,1.0,0,1.0,1,success,,,,,
dense,30,Compare the focus of Biography with that of Team learning. How do they differ?,comparative,1,"I cannot answer this from the provided context. It involves more than just basic facts like education, work, relationships,",22.279,1.0,0,1.0,1,success,,,,,
dense,31,Compare the focus of Geophysics with that of Temporary capital. How do they differ?,comparative,1,"I cannot answer this from the provided context. It focuses primarily on Earth’s shape and its gravitational,",23.612,1.0,0,1.0,1,success,,,,,
dense,32,Compare the focus of Ancient Greek mathematics with that of Preoperative care. How do they differ?,comparative,1,"I cannot answer this from the provided context. It consists of what are today called word problems or story problems, which were apparently",26.508,0.0,1,1.0,1,generation_failure,,,,,
dense,33,Compare the focus of Computer network with that of Digital signal processing. How do they differ?,comparative,2,I cannot answer this from the provided context. Computer communication concerns the exchange of data between computers and similar devices. For,25.614,0.0,1,0.5,1,generation_failure,,,,,
dense,34,Compare the focus of Oklahoma City Thunder with that of Jupiter. How do they differ?,comparative,1,I cannot answer this from the provided context. Jupiter is an oblate spheroid; it has,29.032,0.333,0,1.0,1,context_failure,,,,,
dense,35,Compare the focus of Lace with that of Workforce. How do they differ?,comparative,2,I cannot answer this from the provided context. Lace is a delicate fabric made of yarn or thread in,25.609,0.0,1,0.5,1,generation_failure,,,,,
dense,36,Compare the focus of Algorithm with that of Behavior. How do they differ?,comparative,1,I cannot answer this from the provided context. Algorithm analysis resembles other mathematical disciplines as it focuses on the algorithm,27.788,0.0,1,1.0,1,generation_failure,,,,,
dense,37,Compare the focus of Energy storage with that of Kirkhill Astronomical Pillar. How do they differ?,comparative,1,I cannot answer this from the provided context. Kirkhill Astronomical Pillar focuses on astronomical physics.,25.213,0.0,1,1.0,1,generation_failure,,,,,
dense,38,Compare the focus of Laburnum with that of General relativity. How do they differ?,comparative,1,I cannot answer this from the provided context. While general relativity replaces the scalar gravitational potential of classical physics,26.703,0.0,1,1.0,1,context_failure,,,,,
dense,39,Compare the focus of Calculus with that of Biochemistry. How do they differ?,comparative,1,"I cannot answer this from the provided context. Calculus is the mathematical study of continuous change, in the same way",24.254,0.0,1,1.0,1,generation_failure,,,,,
dense,40,Compare the focus of Kakie with that of Lowest bridging point. How do they differ?,comparative,1,I cannot answer this from the provided context. They are two different styles of Judo. Mongolian Ju,24.707,0.0,1,1.0,1,context_failure,,,,,
dense,41,Compare the focus of Outline of India with that of Socratic questioning. How do they differ?,comparative,1,I cannot answer this from the provided context. Socratic questioning focuses on discovering answers by asking questions.,23.958,0.0,1,1.0,1,context_failure,,,,,
dense,42,Compare the focus of Social Science One with that of Biology. How do they differ?,comparative,0,I cannot answer this from the provided context. It is an interdisciplinary area of academic study that examines humans through the influences,24.778,0.0,1,0.0,0,retrieval_failure,,,,,
dense,43,Compare the focus of Digital electronics with that of Glassblowing. How do they differ?,comparative,1,"I cannot answer this from the provided context. The images may represent electrical waveforms (oscilloscope), pictures",26.95,0.0,1,1.0,1,context_failure,,,,,
dense,44,Compare the focus of Dancing Hot Dog with that of Indoor practice facility. How do they differ?,comparative,1,I cannot answer this from the provided context. The Dancing Hot Dog is the name often used to refer to,29.058,0.333,0,1.0,1,success,,,,,
dense,45,"Given the details about Energy transformation, what can be inferred about its impact on its respective field?",inferential,1,I cannot answer this from the provided context. Sunlight is also captured by plants as a chemical potential energy via photosynthesis.,29.255,0.0,1,1.0,1,generation_failure,,,,,
dense,46,"Given the details about Catalysis, what can be inferred about its impact on its respective field?",inferential,1,"I cannot answer this from the provided context. Petroleum refining makes intensive use of catalysis for alkylation,",29.779,0.0,1,1.0,1,generation_failure,,,,,
dense,47,"Given the details about Biodiversity, what can be inferred about its impact on its respective field?",inferential,1,I cannot answer this from the provided context. This can be seen for example in the effects of climate change on biomes.,25.353,0.0,1,1.0,1,generation_failure,,,,,
dense,48,"Given the details about Vulcan (hypothetical planet), what can be inferred about its impact on its respective field?",inferential,1,Giant impacts have profound effects. They can lead to the formation of atmospheres and influence the chemical composition o,30.3,0.0,1,1.0,1,generation_failure,,,,,
dense,49,"Given the details about Football, what can be inferred about its impact on its respective field?",inferential,2,"I cannot answer this from the provided context. Due to the worldwide popularity of soccer, these observations may have important public health",26.879,0.0,1,0.5,1,generation_failure,,,,,
dense,50,"Given the details about Intermodulation, what can be inferred about its impact on its respective field?",inferential,1,I cannot answer this from the provided context. Interferometry typically uses electromagnetic waves and is an important investigative technique in the,26.35,0.0,1,1.0,1,generation_failure,,,,,
dense,51,"Given the details about Gene, what can be inferred about its impact on its respective field?",inferential,3,I cannot answer this from the provided context. One application of biotechnology is the directed use of microorganisms for,26.279,0.0,1,0.333,1,generation_failure,,,,,
dense,52,"Given the details about Epistemology, what can be inferred about its impact on its respective field?",inferential,1,"I cannot answer this from the provided context. It also intersects with fields such as decision theory, education,",23.251,1.0,0,1.0,1,success,,,,,
dense,53,"Given the details about Milwaukee Bucks, what can be inferred about its impact on its respective field?",inferential,1,I cannot answer this from the provided context. Their 26-game improvement was the second-highest in franchis.,27.215,0.0,1,1.0,1,generation_failure,,,,,
dense,54,"Given the details about Gemology, what can be inferred about its impact on its respective field?",inferential,1,I cannot answer this from the provided context. Some jewelers (and many non-jewelers are academically trained gemologists and are qualified,27.53,0.0,1,1.0,1,generation_failure,,,,,
dense,55,"Using information from both Flow, my tears and Co-construction (learning), identify a common thread or potential intersection between these two topics.",multi-hop,1,I cannot answer this from the provided context. Co-construction creates environments depicting many of the same same aspects Early Childhood theori.,27.728,1.0,0,1.0,1,context_failure,,,,,
dense,56,"Using information from both Flow, my tears and Poetry, identify a common thread or potential intersection between these two topics.",multi-hop,1,"I cannot answer this from the provided context. Lines can separate, compare or contrast thoughts expressed in different units.",28.257,0.0,1,1.0,1,generation_failure,,,,,
dense,57,"Using information from both Epistemology and Culture, identify a common thread or potential intersection between these two topics.",multi-hop,1,"I cannot answer this from the provided context. It also intersects with fields such as decision theory, education,",25.077,0.0,1,1.0,1,generation_failure,,,,,
dense,58,"Using information from both Differential equation and Clothing in ancient Egypt, identify a common thread or potential intersection between these two topics.",multi-hop,1,I cannot answer this from the provided context. Egyptian mathematics refers to mathematics written in the Egyptian language. From,24.734,0.0,1,1.0,1,context_failure,,,,,
dense,59,"Using information from both Biochemistry and Publishing, identify a common thread or potential intersection between these two topics.",multi-hop,1,"I cannot answer this from the provided context. Biochemistry, or biological chemistry (distinct from chemical biology), is the study",25.863,0.0,1,1.0,1,generation_failure,,,,,
dense,60,"Using information from both Metropolitan area and Integer programming, identify a common thread or potential intersection between these two topics.",multi-hop,1,I cannot answer this from the provided context. These problems involve service and vehicle s to a single urban settlement.,24.972,0.0,1,1.0,1,generation_failure,,,,,
dense,61,"Using information from both City marketing and Geothermal energy, identify a common thread or potential intersection between these two topics.",multi-hop,1,I cannot answer this from the provided context. Geothermal energy has been exploited as a source of heat,25.902,0.0,1,1.0,1,context_failure,,,,,
dense,62,"Using information from both Data mining and Minnesota Timberwolves, identify a common thread or potential intersection between these two topics.",multi-hop,4,I cannot answer this from the provided context. It is unclear what exactly transpired leading to the deal falling throu,28.426,0.0,1,0.25,1,context_failure,,,,,
dense,63,"Using information from both Kaiser and Immunotherapy, identify a common thread or potential intersection between these two topics.",multi-hop,2,I cannot answer this from the provided context. It encompasses a diverse set of therapeutic strategies that harness or modify the immune system to prevent,28.467,1.0,0,0.5,1,context_failure,,,,,
dense,64,"Using information from both Insular biogeography and Exercise, identify a common thread or potential intersection between these two topics.",multi-hop,1,"I cannot answer this from the provided context. Iridology is an alternative medicine technique whose proponents claim that patterns, colors, and other characteristics of the iris can be examined",34.811,0.0,1,1.0,1,generation_failure,,,,,
dense,65,"Using information from both Planetary Science Institute and Data mining, identify a common thread or potential intersection between these two topics.",multi-hop,0,I cannot answer this from the provided context because there isn't enough information to answer the question.,22.673,0.0,1,0.0,0,retrieval_failure,,,,,
dense,66,"Using information from both Geothermal energy and Infrared astronomy, identify a common thread or potential intersection between these two topics.",multi-hop,2,"I cannot answer this from the provided context. It focuses primarily on Earth’s shape and its gravitational, magnetic, and electromagnetic fields.",31.005,1.0,0,0.5,1,success,,,,,
dense,67,"Using information from both Experimental psychology and Valley of Flowers National Park, identify a common thread or potential intersection between these two topics.",multi-hop,5,I cannot answer this from the provided context. All organisms have a behavior. The answer: animal studies.,24.478,0.0,1,0.2,1,context_failure,,,,,
dense,68,"Using information from both Philosophy and History of mathematics, identify a common thread or potential intersection between these two topics.",multi-hop,3,I cannot answer this from the provided context. Mathematization of the social sciences is not without risk.,23.838,0.0,1,0.333,1,context_failure,,,,,
dense,69,"Using information from both Instagram face and Instructional design, identify a common thread or potential intersection between these two topics.",multi-hop,2,I cannot answer this from the provided context. It would implement new features designed to reduce harassment and negative comments on the service,23.486,0.0,1,0.5,1,generation_failure,,,,,
dense,70,Tell me more about the 'various factors' involved in Electronic health record (Germany).,ambiguous,1,"I cannot answer this from the provided context. Epidemiologists range from outbreak investigation to study design, data collection, and analysis.",25.278,1.0,0,1.0,1,success,,,,,
dense,71,Tell me more about the 'various factors' involved in Dermatology.,ambiguous,1,I cannot answer this from the provided context. Studies published in journals focusing on inflammatory skin conditions in humans and veterinary research,24.915,1.0,0,1.0,1,success,,,,,
